Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.78,0.0001,0,0,0.0001,0.1,0,100,1000,0.06,AUD/USD
EUR/USD,1.2,0.0001,0,0,0.0001,0.1,0,100,1000,0.06,EUR/USD
